SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
170552,0,Revolving loans,F,N,Y,0,58500.0,202500.0,10125.0,202500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.035792000000000004,-21728,365243,-2332.0,-4817,,1,0,0,1,0,0,,2.0,2,2,WEDNESDAY,9,0,0,0,0,0,0,XNA,,0.7203407005696079,0.5172965813614878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,4.0,1.0,-2063.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
249958,0,Cash loans,F,Y,N,0,90000.0,269550.0,21609.0,225000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.020713,-14062,-1246,-5596.0,-3696,16.0,1,1,0,1,0,0,,2.0,3,3,THURSDAY,11,0,1,1,0,1,1,Other,,0.4530271050456852,,0.0825,0.0692,0.9821,0.7552,0.0215,0.0,0.2069,0.1667,0.2083,0.0738,0.0672,0.0742,0.0154,0.1345,0.084,0.0718,0.9821,0.7648,0.0217,0.0,0.2069,0.1667,0.2083,0.0754,0.0735,0.0773,0.0156,0.1424,0.0833,0.0692,0.9821,0.7585,0.0217,0.0,0.2069,0.1667,0.2083,0.075,0.0684,0.0755,0.0155,0.1373,reg oper account,block of flats,0.0994,Panel,No,3.0,0.0,3.0,0.0,-3238.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
189801,0,Cash loans,F,Y,Y,0,112500.0,269550.0,11416.5,225000.0,Unaccompanied,Pensioner,Higher education,Married,House / apartment,0.015221,-22854,365243,-8007.0,-4595,6.0,1,0,0,1,1,0,,2.0,2,2,THURSDAY,9,0,0,0,0,0,0,XNA,0.7714463271813371,0.4303234324083616,0.5902333386185574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1718.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
152041,1,Cash loans,M,Y,Y,1,135000.0,208512.0,24876.0,180000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.030755,-15309,-2441,-6154.0,-1649,9.0,1,1,0,1,0,0,Drivers,3.0,2,2,WEDNESDAY,10,0,0,0,1,1,0,Self-employed,,0.6714256461912008,0.5352762504724826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-435.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,2.0
251837,0,Cash loans,F,N,N,2,112500.0,490536.0,31936.5,405000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.003069,-12607,-4359,-6289.0,-2611,,1,1,0,1,0,0,Laborers,4.0,3,3,FRIDAY,11,0,0,0,1,1,1,Industry: type 9,,0.5903400013878589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-212.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
304249,0,Cash loans,F,N,Y,0,112500.0,254700.0,14751.0,225000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.010006,-24118,365243,-2461.0,-4036,,1,0,0,1,0,0,,2.0,2,1,SATURDAY,8,0,0,0,0,0,0,XNA,0.6964029356188479,0.6923667278258901,0.5478104658520093,0.0124,0.0,0.9811,,,0.0,0.069,0.0417,,0.0,,0.01,,0.003,0.0126,0.0,0.9811,,,0.0,0.069,0.0417,,0.0,,0.0104,,0.0032,0.0125,0.0,0.9811,,,0.0,0.069,0.0417,,0.0,,0.0102,,0.0031,,block of flats,0.0085,Wooden,No,1.0,0.0,1.0,0.0,-448.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0
102802,0,Cash loans,M,Y,N,0,292500.0,1087366.5,35208.0,949500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.010006,-15536,-498,-1022.0,-4532,13.0,1,1,1,1,0,0,Laborers,2.0,2,1,TUESDAY,10,0,0,0,0,0,0,Business Entity Type 3,0.5845439389750106,0.7455168182007461,0.6263042766749393,0.1649,0.1301,0.9911,0.8776,0.0609,0.2,0.1724,0.3333,0.375,0.1553,0.1345,0.2086,0.0,0.0,0.1681,0.135,0.9911,0.8824,0.0615,0.2014,0.1724,0.3333,0.375,0.1588,0.1469,0.2174,0.0,0.0,0.1665,0.1301,0.9911,0.8792,0.0613,0.2,0.1724,0.3333,0.375,0.158,0.1368,0.2124,0.0,0.0,reg oper account,block of flats,0.1995,"Stone, brick",No,5.0,0.0,5.0,0.0,-380.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
410212,0,Cash loans,F,N,N,0,90000.0,755190.0,33394.5,675000.0,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.019689,-23507,365243,-2448.0,-4163,,1,0,0,1,0,0,,1.0,2,2,SATURDAY,9,0,0,0,0,0,0,XNA,,0.08365729704529673,0.8245949709919925,,,0.9891,,,,,,,,,0.0514,,,,,0.9891,,,,,,,,,0.0536,,,,,0.9891,,,,,,,,,0.0524,,,,,0.0457,,No,5.0,1.0,5.0,1.0,-904.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
334653,0,Revolving loans,F,N,Y,0,166500.0,135000.0,6750.0,135000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.009657,-16127,-264,-1022.0,-3195,,1,1,1,1,0,0,High skill tech staff,2.0,2,2,FRIDAY,11,1,1,0,1,1,0,Trade: type 3,0.4085576649927078,0.2789360463634969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,-67.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
423356,0,Cash loans,M,Y,Y,1,157500.0,1257430.5,36895.5,1098000.0,Unaccompanied,Working,Higher education,Married,With parents,0.019101,-12745,-146,-6760.0,-5032,9.0,1,1,0,1,0,0,,3.0,2,2,MONDAY,17,0,0,0,1,1,1,Business Entity Type 3,0.6132284689016996,0.5988632735179947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
